Breed Name,Temperament,AKC Breed Popularity,Height,Weight,Life Expectancy,Group
Pekingese,"Affectionate, Loyal, Regal in Manner",Ranks 93 of 192,6-9 inches,up to 14 pounds,12-14 years,Toy Group
Pembroke Welsh Corgi,"Affectionate, Smart, Alert",Ranks 18 of 192,10-12 inches,"up to 30 pounds (male), up to 28 pounds (female)",12-13 years,Herding Group
Perro de Presa Canario,"Confident, Calm, Strong-Willed",-,22-26 inches,84-110 pounds,9-11 years,Foundation Stock Service
Peruvian Inca Orchid,"Affectionate, Loyal, Noble",-,9.75-15.75 inches (small) 15.75-19.75 inches (medium) 19.75-25.75 inches (large),8.5-17.5 pounds (small) 17.5-26.5 pounds (medium) 26.5-55 pounds (large),12-14 years,Miscellaneous Class
Petit Basset Griffon Vendéen,"Alert, Happy, Vivacious",Ranks 148 of 192,13-15 inches,25-40 pounds,14-16 years,Hound Group
Pharaoh Hound,"Friendly, Smart, Noble",Ranks 168 of 192,"23-25 inches (male), 21-24 inches (female)",45-55 pounds,12-14 years,Hound Group
Plott,"Loyal, Alert, Intelligent",Ranks 158 of 192,"20-25 inches (male), 20-23 inches (female)","50-60 pounds (male), 40-55 pounds (female)",12-14 years,Hound Group
Pointer,"Loyal, Hardworking, Even-Tempered",Ranks 117 of 192,"25-28 inches (male), 23-26 inches (female)","55-75 pounds (male), 45-65 pounds (female)",12-17 years,Sporting Group
Polish Lowland Sheepdog,"Confident, Clever, Lively",Ranks 169 of 192,"18-20 inches (male), 17-19 inches (female)",30-50 pounds,12-14 years,Herding Group
Pomeranian,"Inquisitive, Bold, Lively",Ranks 22 of 192,6-7 inches,3-7 pounds,12-16 years,Toy Group
Poodle (Miniature / Standard),"Affectionate, Friendly, Independent",Ranks 183 of 192,"18-19.5 inches (male), 16.5-18 inches (female)","22-26 pounds (male), 17-22 pounds (female)",12-14 years,Hound Group
Poodle (Toy),"Agile, Intelligent, Self-Confident",Ranks 7 of 192,No more than 10 inches,4-6 pounds,10-18 years,Toy Group
Porcelaine,"Independent, Energetic, Powerful",-,22-23 inches,55-62 pounds,12-13 years,Foundation Stock Service
Portuguese Podengo,"Independent, Alert, Intelligent",-,22-28 inches (large) 16-22 inches (medium),44-66 pounds (large) 35-44 pounds (medium),10-15 years,Miscellaneous Class
Portuguese Podengo Pequeno,"Playful, Charming, Lively",Ranks 160 of 192,8-12 inches,9-13 pounds,12-15 years,Hound Group
Portuguese Pointer,"Affectionate, Smart, Energetic",-,20.5-22 inches,35-59 pounds,~14 years,Foundation Stock Service
Portuguese Sheepdog,"Intelligent, Devoted, Lively",-,16.5-21.5 inches,37.5-59 pounds,12-13 years,Foundation Stock Service
Portuguese Water Dog,"Affectionate, Adventurous, Athletic",Ranks 51 of 192,"20-23 inches (male), 17-21 inches (female)","42-60 pounds (male), 35-50 pounds (female)",11-13 years,Working Group
Pudelpointer,"Friendly, Smart, Willing to Please",-,22-26 inches,45-70 pounds,~14 years,Foundation Stock Service
Pug,"Charming, Mischievous, Loving",Ranks 32 of 192,10-13 inches,14-18 pounds,13-15 years,Toy Group
Puli,"Loyal, Smart, Home-Loving",Ranks 159 of 192,"17 inches (male), 16 inches (female)",25-35 pounds,10-15 years,Herding Group
Pumi,"Energetic, Lively, Ready to Work",Ranks 162 of 192,"16-18.5 inches (male), 15-17.5 inches (female)","27-29 pounds (male), 22-24 pounds (female)",12-13 years,Herding Group
Pyrenean Mastiff,"Gentle, Brave, Noble",-,"Males 30-31 inches, Females 25-30 inches",120-240 pounds,10-13 Years,Foundation Stock Service
Pyrenean Shepherd,"Affectionate, Active, Enthusiastic",Ranks 176 of 192,"15.5-18.5 inches (male rough-faced), 15-18 inches (female rough-faced), 
15.5-21 inches (male smooth-faced), 15.5-20.5 inches (female smooth-faced)",15-30 pounds,Late teens,Herding Group
Rafeiro do Alentejo,"Confident, Calm, Powerful",-,25-29 inches,77-132 pounds,12-14 years,Foundation Stock Service
Rat Terrier,"Friendly, Inquisitive, Lovable",Ranks 96 of 192,"10-13 inches (miniature), 13-18 inches (standard)",10-25 pounds,12-18 years,Terrier Group
Redbone Coonhound,"Even-Tempered, Amiable, Eager to Please",Ranks 143 of 192,"22-27 inches (male), 21-26 inches (female)",45-70 pounds,12-15 years,Hound Group
Rhodesian Ridgeback,"Affectionate, Dignified, Even-Tempered",Ranks 42 of 192,"25-27 inches (male), 24-26 inches (female)","85 pounds (male), 70 pounds (female)",-,Hound Group
Romanian Mioritic Shepherd Dog,"Loyal, Independent, Confident Guardian",-,"27-29 inches (males), 22.5-28 inches (females)",100-130 lbs,12-14 years,Foundation Stock Service
Rottweiler,"Loyal, Loving, Confident Guardian",Ranks 8 of 192,"24-27 inches (male), 22-25 inches (female)","95-135 pounds (male), 80-100 pounds (female)",9-10 years,Working Group
Russell Terrier,"Alert, Inquisitive, Lively",Ranks 90 of 192,10-12 inches,9-15 pounds,12-14 years,Terrier Group
Russian Toy,"Loyal, Smart, Charming",-,8-11 inches,Up to 6.5 pounds,12-14+ years,Miscellaneous Class
Russian Tsvetnaya Bolonka,"Playful, Charming, Inquisitive",-,9-10 inches,4.5-11 pounds,12-16 years,Foundation Stock Service
Saint Bernard,"Agile, Versatile, Lively",-,19-22 inches,48-70 pounds,12-15 years,Foundation Stock Service
Saluki,"Gentle, Dignified, Independent-Minded",Ranks 125 of 192,"23-28 inches (male), considerably smaller (female)",40-65 pounds,10-17 years,Hound Group
Samoyed,"Adaptable, Friendly, Gentle",Ranks 65 of 192,"21-23.5 inches (male), 19-21 inches (female)","45-65 pounds (male), 35-50 pounds (female)",12-14 years,Working Group
Schapendoes,"Friendly, Watchful, Lively",-,16-20 inches,26-55 pounds,12-15 years,Foundation Stock Service
Schipperke,"Confident, Alert, Curious",Ranks 112 of 192,"11-13 inches (male), 10-12 inches (female)",10-16 pounds,12-14 years,Non-Sporting Group
Scottish Deerhound,"Gentle, Dignified, Polite",Ranks 154 of 192,"30-32 inches (male), 28 inches & up (female)","85-110 pounds (male), 75-95 pounds (female)",8-11 years,Hound Group
Scottish Terrier,"Confident, Independent, Spirited",Ranks 58 of 192,10 inches,"19-22 pounds (male), 18-21 pounds (female)",12 years,Terrier Group
Sealyham Terrier,"Alert, Outgoing, Sense Of Humor",Ranks 155 of 192,10.5 inches,"23-24 pounds (male), slightly less (females)",12-14 years,Terrier Group
Segugio Italiano,"Friendly, Intelligent, Eager to Please",-,19 - 23 inches,40 -  60 lbs,11 - 13 years,Foundation Stock Service
Shetland Sheepdog,"Playful, Energetic, Bright",Ranks 24 of 192,13-16 inches,15-25 pounds,12-14 years,Herding Group
Shiba Inu,"Alert, Active, Attentive",Ranks 44 of 192,"14.5-16.5 inches (male), 13.5-15.5 inches (female)","23 pounds (male), 17 pounds (female)",13-16 years,Non-Sporting Group
Shih Tzu,"Affectionate, Playful, Outgoing",Ranks 20 of 192,9-10.5 inches,9-16 pounds,10-18 years,Toy Group
Shikoku,"Energetic, Alert, Enthusiastic",-,17-22 inches,35-55 pounds,10-12 years,Foundation Stock Service
Siberian Husky,"Loyal, Outgoing, Mischevious",Ranks 12 of 192,"21-23.5 inches (male), 20-22 inches (female)","45-60 pounds (male), 35-50 pounds (female)",12-14 years,Working Group
Silky Terrier,"Friendly, Quick, Keenly Alert",Ranks 100 of 192,9-10 inches,around 10 pounds,13-15 years,Toy Group
Skye Terrier,"Courageous, Good-Tempered, Canny",Ranks 178 of 192,"10 inches (male), 9.5 inches (female)","35-45 pounds (male), slightly lighter (female)",12-14 years,Terrier Group
Sloughi,"Reserved, Graceful, Noble",Ranks 185 of 192,"26-29 inches (male), 24-27 inches (female)",35-50 pounds,10-15 years,Hound Group
Slovakian Wirehaired Pointer,-,-,"24.5-26.5 in (male), 22.5-26 in (female)",50-65 lbs,12-15 years,Foundation Stock Service
Slovensky Cuvac,"Courageous, Alert, Faithful",-,23-27.5 inches,68-97 pounds,11-13 years,Foundation Stock Service
Slovensky Kopov,"Courageous, Alert, Determined",-,16-20 inches,33-44 pounds,12-13 years,Foundation Stock Service
Small Munsterlander Pointer,"Intelligent, Devoted, Self-Confident",-,20.5-21 inches,40-60 pounds,12 to 14 years,Foundation Stock Service
Smooth Fox Terrier,"Friendly, Independent, Amusing",Ranks 124 of 192,15½ inches,"18 pounds (male), 15-17 (female)",12-15 years,Terrier Group
Soft Coated Wheaten Terrier,"Friendly, Happy, Deeply Devoted",Ranks 50 of 192,"18-19 inches (male), 17-18 inches (female)","35-40 pounds (male), 30-35 pounds (female)",10-12 years,Terrier Group
Spanish Mastiff,"Affectionate, Intelligent, Kind",-,Minimum 28-35 inches,140-200 pounds,10-12 years,Foundation Stock Service
Spanish Water Dog,Playful but also Work-Oriented. Very Active and Upbeat.,Ranks 162 of 192,"17.5-19.75 inches (male), 15.75-18 inches (female)","40-49 pounds (male), 31-40 pounds (female)",12-14 years,Herding Group
Spinone Italiano,"Sociable, Patient, Docile",Ranks 105 of 192,"23-27 inches (male), 22-25 inches (female)",-,10-12 years,Sporting Group
Stabyhoun,"Intelligent, Responsive, Loving",-,19-21 inches,40-60 pounds,13-15 years,Foundation Stock Service
Staffordshire Bull Terrier,"Clever, Brave, Tenacious",Ranks 82 of 192,14-16 inches,"28-38 pounds (male), 24-34 pounds (female)",12-14 years,Terrier Group
Standard Schnauzer,"Fearless, Smart, Spirited",Ranks 85 of 192,"18.5-19.5 inches (male), 17.5-18.5 inches (female)","35-50 pounds (male), 30-45 pounds (female)",13-16 years,Working Group
Sussex Spaniel,"Friendly, Merry, Even-Tempered",Ranks 172 of 192,13-15 inches,35-45 pounds,13-15 years,Sporting Group
Swedish Lapphund,"Playful, Intelligent, Lively",-,16-20 inches,30-45 pounds,12-14 years,Foundation Stock Service
Swedish Vallhund,"Friendly, Energetic, Watchful",Ranks 163 of 192,"12.5-13.75 inches (male), 11.5-12.75 inches (female)",20-35 pounds,12-15 years,Herding Group
Taiwan Dog,"Loyal, Versatile, Intelligent",-,17-20 inches,26-40 pounds,9-13 years,Foundation Stock Service
Teddy Roosevelt Terrier,"Playful, Versatile, Intelligent",-,8-15 inches,8-25 pounds,14-16 years,Foundation Stock Service
Thai Ridgeback,"Loyal, Independent, Agile",-,20-24 inches,35-75 pounds,12-13 years,Foundation Stock Service
Tibetan Mastiff,"Independent, Reserved, Intelligent",Ranks 135 of 192,"minimum 26 inches (male), minimum 24 inches (female)","90-150 pounds (male), 70-120 pounds (female)",10-12 years,Working Group
Tibetan Spaniel,"Playful, Bright, Self-Confident",Ranks 118 of 192,10 inches,9-15 pounds,12-15 years,Non-Sporting Group
Tibetan Terrier,"Affectionate, Loyal, Sensitive",Ranks 91 of 192,14-17 inches,"18-30 pounds (male), slightly smaller (female)",15-16 years,Non-Sporting Group
Tornjak,"Friendly, Courageous, Intelligent",-,23-28 inches,62-110 pounds,12-14 years,Foundation Stock Service
Tosa,"Fearless, Patient, Vigilant",-,Minimum 21.5-23.5 inches,100-200 pounds,10-12 years,Foundation Stock Service
Toy Fox Terrier,"Friendly, Alert, Intelligent",Ranks 116 of 192,8.5-11.5 inches,-,13-15 years,Toy Group
Transylvanian Hound,"Courageous, Good-Natured, Determined",-,22-26 inches,Minimum 55 pounds,10-14 years,Foundation Stock Service
Treeing Tennessee Brindle,"Friendly, Alert, Intelligent",-,16-24 inches,30-50 pounds,10-12 years,Foundation Stock Service
Treeing Walker Coonhound,"Smart, Brave, Courteous",Ranks 137 of 192,"22-27 inches (male), 20-25 inches (female)",50-70 pounds,12-13 years,Hound Group
Vizsla,"Affectionate, Gentle, Energetic",Ranks 31 of 192,"22-24 inches (male), 21-23 inches (female)","55-60 pounds (male), 44-55 pounds (female)",12-14 years,Sporting Group
Weimaraner,"Friendly, Fearless, Obedient",Ranks 34 of 192,"25-27 inches (male), 23-25 inches (female)","70-90 pounds (male), 55-75 pounds (female)",10-13 years,Sporting Group
Welsh Springer Spaniel,"Happy, Reserved, Upbeat",Ranks 123 of 192,"18-19 inches (male), 17-18 inches (female)","40-55 pounds (male), 35-50 pounds (female)",12-15 years,Sporting Group
Welsh Terrier,"Friendly, Spirited, Intelligent",Ranks 111 of 192,"15 inches (male), porportionally smaller (female)","20 pounds, porportionally smaller (female)",12-15 years,Terrier Group
West Highland White Terrier,"Loyal, Happy, Entertaining",Ranks 41 of 192,"11 inches (male). 10 inches, female",15-20 pounds,13-15 years,Terrier Group
Whippet,"Affectionate, Playful, Calm",Ranks 60 of 192,"19-22 inches (male), 18-21 inches (female)",25-40 pounds,12-15 years,Hound Group
Wire Fox Terrier,"Confident, Alert, Gregarious",Ranks 101 of 192,15½ inches,"18 pounds (male), 15-17 (female)",12-15 years,Terrier Group
Wirehaired Pointing Griffon,"Friendly, Devoted, Trainable",Ranks 66 of 192,"22-24 inches (male), 20-22 inches (female)","50-70 pounds (male), 35-50 pounds (female)",12-15 years,Sporting Group
Wirehaired Vizsla,"Gentle, Loyal, Trainable",Ranks 157 of 192,"23-25 inches (male), 21.5-23 inches (female)","55-65 pounds (male), 45-55 pounds (female)",12-14 years,Sporting Group
Working Kelpie,"Alert, Eager, Intelligent",-,19-25 inches,28-60 pounds,12-15 years,Foundation Stock Service
Xoloitzcuintli,"Loyal, Alert, Calm",Ranks 139 of 192,"10-14 inches (toy), 14-18 inches (miniature), 18-23 inches (standard)","10-15 pounds (toy), 15-30 pounds (miniature), 30-55 pounds (standard)",13-18 years,Non-Sporting Group
Yakutian Laika,"Affectionate, Intelligent, Active",-,21-23 inches,40-55 pounds,10-12 years,Foundation Stock Service
Yorkshire Terrier,"Affectionate, Sprightly, Tomboyish",Ranks 9 of 192,7-8 inches,7 pounds,11-15 years,Toy Group
